transaction_id,card_id,transaction_date,amount,merchant,category_id,transaction_type,description
1001,5,15-10-2023,196.81,Smith-Austin,4,Credit,Where half yourself argue member oil get early.
1002,5,17-10-2023,463.65,Davis LLC,9,Credit,Color recognize guess according production.
1003,4,23-08-2023,201.09,Kim-Lewis,10,Credit,For girl cost black she.
1004,6,23-01-2023,381.06,"Williams, Wilcox and Christensen",6,Debit,Section why expect.
1005,1,23-12-2022,296.84,Rodriguez-Hudson,5,Credit,Teach difficult treat business not doctor feeling.
1006,1,19-07-2023,251.36,Williams LLC,6,Debit,Pattern long choice.
1007,5,20-11-2023,56.52,Thomas Inc,4,Debit,Father sing try however successful beautiful manager.
1008,4,12-04-2023,431.52,Carter-Bishop,4,Credit,Fight drop something stock follow senior.
1009,1,07-01-2023,6.85,West PLC,4,Debit,Consumer recognize official play since tell issue trial.
1010,3,11-05-2023,375.13,"Gallegos, Johnson and Jenkins",1,Credit,Middle speech girl tough.
1011,5,06-12-2022,200.47,Walsh Group,3,Debit,Soon trial pressure result a point.
1012,2,11-10-2023,423.08,"Riley, Wood and Cunningham",9,Debit,Political respond put with popular black.
1013,5,28-02-2023,497.87,"Gillespie, Rivas and Graham",1,Credit,Away through kind song.
1014,5,15-10-2023,391.74,Morton Ltd,6,Credit,Hit feel decide Mrs study training until.
1015,6,10-02-2023,282.88,"Henderson, Burns and Rivera",5,Credit,Them accept position serve purpose huge young carry.
1016,3,08-05-2023,58.13,Richards and Sons,8,Debit,You bag trouble manager.
1017,5,02-06-2023,49.18,Henderson PLC,8,Credit,Letter shoulder protect party responsibility know power.
1018,1,03-04-2023,390.51,Bright Ltd,7,Credit,Believe prevent change.
1019,5,01-06-2023,328.35,Richard-Hall,10,Debit,Group week seven appear see others also wish.
1020,1,11-10-2023,377.58,"Williams, Jenkins and Cross",3,Debit,Apply employee fly ground.
1021,1,11-02-2023,245.75,Schwartz and Sons,6,Credit,Remember against heart single cup place.
1022,4,09-10-2023,181.81,"Farrell, Flynn and Ramirez",10,Credit,Question clear as lawyer fill reflect.
1023,4,15-09-2023,82.46,Duke-Brown,1,Debit,Start buy vote amount skin home interest.
1024,3,06-08-2023,206.11,Greer Group,8,Debit,Control see also ask dark.
1025,3,09-07-2023,352.79,Williams Inc,5,Debit,Central action if population pick treat bed.
1026,3,28-01-2023,222.52,Robinson-Mills,4,Credit,Magazine final need of level fear.
1027,4,03-06-2023,29.69,Richardson PLC,3,Credit,Bring rich pay leave suffer.
1028,2,03-10-2023,487.34,Perry PLC,9,Debit,Item win many fly star plan hair.
1029,2,15-02-2023,300.2,Palmer PLC,10,Debit,Remember anything economic focus dog quality positive.
1030,3,17-07-2023,220.12,"Walsh, Serrano and Carpenter",4,Credit,Fear and every director.
1031,4,17-10-2023,499.66,Dean-Mckenzie,1,Debit,Under from poor child provide.
1032,2,02-11-2023,151.42,Barber-Powell,5,Debit,Third executive rather money evening nearly stock.
1033,5,12-04-2023,350.05,"Johnson, Bauer and Morgan",8,Debit,Call can fire candidate people leave result allow.
1034,5,28-08-2023,199.03,Campbell PLC,8,Debit,Executive hospital seat story song national brother.
1035,5,14-05-2023,216.65,"Newman, Castillo and Hill",10,Credit,Hotel store quickly.
1036,1,10-06-2023,411.52,Torres Ltd,4,Debit,Think win often return notice bag contain.
1037,5,18-05-2023,400.23,"Murphy, Olson and Williams",1,Debit,Include realize vote common second.
1038,3,19-02-2023,74.88,"Smith, Gomez and Webb",7,Debit,Short indeed student see.
1039,4,15-12-2022,265.4,"Vargas, Bautista and James",6,Debit,Past continue own.
1040,2,06-06-2023,425.69,"Prince, Salazar and Smith",9,Debit,Phone anyone enjoy trial protect your travel.
1041,4,31-12-2022,483.04,Williams-Harris,5,Debit,Direction so soon which.
1042,6,23-09-2023,427.71,Thomas-Ford,8,Debit,Stock gun care second consumer.
1043,3,04-02-2023,65.49,Kennedy-Whitaker,5,Debit,Most break century have wish appear.
1044,2,31-12-2022,72.89,Wright-Craig,6,Debit,Follow involve body green response.
1045,3,30-05-2023,269.59,Phillips-Moore,7,Credit,Find young else themselves tree there.
1046,4,13-04-2023,50.62,Sims-Branch,8,Credit,Energy stay act fight.
1047,2,06-01-2023,472.74,Klein Inc,4,Debit,Believe number it they actually.
